"game","company","relation"
52,580,"publisher"
52,99,"publisher"
52,98,"developer"
52,7973,"developer"
56,6069,"publisher"
56,109,"developer"
59,113,"publisher"
59,114,"developer"
116,200,"publisher"
116,201,"publisher"
116,201,"developer"
134,224,"publisher"
134,225,"developer"
139,231,"publisher"
139,231,"developer"
142,34,"publisher"
142,234,"developer"
175,270,"publisher"
175,88,"publisher"
175,271,"developer"
232,78,"publisher"
232,114,"developer"
232,2294,"developer"
237,358,"publisher"
237,358,"developer"
258,201,"publisher"
258,200,"publisher"
258,201,"developer"
262,392,"publisher"
262,1218,"developer"
263,67,"publisher"
263,3355,"publisher"
263,394,"developer"
263,6983,"developer"
374,531,"publisher"
374,259,"developer"
374,2973,"developer"
392,505,"publisher"
392,506,"developer"
397,554,"publisher"
397,67,"publisher"
397,553,"developer"
434,186,"publisher"
434,186,"developer"
478,633,"publisher"
478,176,"publisher"
478,428,"developer"
512,666,"publisher"
512,1788,"developer"
537,691,"publisher"
537,548,"developer"
561,643,"publisher"
561,221,"developer"
572,718,"publisher"
572,719,"developer"
625,322,"publisher"
625,54,"publisher"
625,766,"developer"
625,6840,"developer"
634,224,"publisher"
634,503,"developer"
675,66,"publisher"
675,816,"developer"
706,548,"publisher"
706,841,"developer"
748,884,"publisher"
748,885,"developer"
751,548,"publisher"
751,887,"developer"
758,580,"publisher"
758,1411,"publisher"
758,894,"developer"
830,966,"publisher"
830,967,"developer"
830,176,"developer"
843,977,"publisher"
843,816,"publisher"
843,977,"developer"
843,976,"developer"
936,1046,"publisher"
936,1046,"developer"
940,725,"publisher"
940,1050,"developer"
981,548,"publisher"
981,167,"publisher"
981,1084,"developer"
981,288,"developer"
995,1096,"publisher"
995,52,"publisher"
995,187,"developer"
995,10727,"developer"
1042,1131,"publisher"
1042,1132,"developer"
1089,4880,"publisher"
1089,4880,"developer"
1165,1211,"publisher"
1165,1212,"developer"
1179,82,"publisher"
1179,1218,"developer"
1189,1226,"developer"
1230,1266,"publisher"
1230,1266,"developer"
1239,90,"publisher"
1239,753,"publisher"
1239,1271,"developer"
1252,1279,"publisher"
1252,1096,"developer"
1258,1280,"publisher"
1258,1280,"developer"
1258,66,"developer"
1312,425,"publisher"
1312,1313,"developer"
1321,153,"publisher"
1321,185,"publisher"
1321,1320,"developer"
1336,1,"publisher"
1336,1331,"developer"
1336,841,"developer"
1341,580,"publisher"
1341,580,"developer"
1424,531,"publisher"
1424,1396,"developer"
1437,503,"publisher"
1437,1226,"developer"
1462,1420,"publisher"
1462,1420,"developer"
1531,580,"publisher"
1531,7973,"publisher"
1531,98,"developer"
1531,3464,"developer"
1550,1474,"publisher"
1550,1475,"developer"
1571,3,"publisher"
1571,1408,"developer"
1586,68,"publisher"
1586,1,"developer"
1606,1513,"publisher"
1606,1512,"developer"
1704,1569,"publisher"
1704,182,"developer"
1730,1093,"publisher"
1730,6945,"publisher"
1730,1581,"developer"
1738,1589,"publisher"
1738,1590,"developer"
1760,1,"publisher"
1760,1604,"developer"
1760,1605,"developer"
1764,1975,"publisher"
1764,549,"developer"
1764,449,"developer"
1854,1654,"publisher"
1854,1653,"developer"
1869,1,"publisher"
1869,1382,"developer"
1869,1458,"developer"
1878,666,"publisher"
1878,666,"developer"
1920,662,"publisher"
1920,1698,"publisher"
1920,431,"developer"
1940,176,"publisher"
1940,1711,"developer"
1972,1728,"publisher"
1972,1728,"developer"
1999,1030,"publisher"
1999,65,"developer"
1999,6398,"developer"
2027,4509,"publisher"
2027,4509,"developer"
2043,480,"publisher"
2043,892,"developer"
2074,1785,"publisher"
2074,165,"publisher"
2074,165,"developer"
2084,450,"publisher"
2084,1409,"developer"
2084,1194,"developer"
2106,658,"publisher"
2106,1800,"developer"
2128,231,"publisher"
2128,2859,"developer"
2128,4428,"developer"
2135,1096,"publisher"
2135,41,"developer"
2135,10727,"developer"
2161,1096,"publisher"
2161,1828,"developer"
2161,187,"developer"
2163,495,"publisher"
2163,150,"publisher"
2163,150,"developer"
2163,780,"developer"
2194,6983,"publisher"
2194,6983,"developer"
2199,996,"publisher"
2199,530,"developer"
2325,616,"publisher"
2325,459,"developer"
2357,1148,"publisher"
2357,1148,"developer"
2493,1628,"publisher"
2493,2004,"developer"
2536,62,"publisher"
2536,78,"publisher"
2536,62,"developer"
2536,1001,"developer"
2549,985,"publisher"
2549,340,"publisher"
2549,985,"developer"
2549,3319,"developer"
2561,1753,"publisher"
2561,1192,"publisher"
2561,1753,"developer"
2561,1213,"developer"
2562,2033,"publisher"
2562,2033,"developer"
2575,404,"publisher"
2575,1753,"developer"
2684,39,"publisher"
2684,761,"publisher"
2684,805,"developer"
2720,718,"publisher"
2720,2119,"developer"
2733,883,"publisher"
2733,2124,"developer"
2733,3136,"developer"
2770,816,"publisher"
2770,816,"developer"
2780,152,"publisher"
2780,152,"developer"
2783,217,"publisher"
2783,217,"developer"
2825,102,"publisher"
2825,167,"publisher"
2825,2171,"developer"
2825,887,"developer"
2839,1131,"publisher"
2839,2178,"publisher"
2839,2177,"developer"
2844,2181,"publisher"
2844,3192,"publisher"
2844,2182,"developer"
2875,1,"publisher"
2875,1096,"publisher"
2875,2200,"developer"
2920,41,"publisher"
2920,41,"developer"
2977,299,"publisher"
2977,299,"developer"
2996,780,"publisher"
2996,2033,"developer"
3045,2273,"publisher"
