"game","platform"
52,17
52,94
52,121
52,123
56,94
59,22
59,94
116,94
134,23
139,1
142,94
175,17
175,22
175,94
175,102
175,152
232,4
232,19
232,20
232,23
232,32
232,52
232,86
232,94
237,94
258,94
262,94
263,11
263,12
263,14
263,15
263,16
263,47
263,94
263,110
263,112
374,22
374,94
392,1
392,94
397,1
397,3
397,4
397,5
397,6
397,8
397,9
397,13
397,14
397,19
397,22
397,39
397,52
397,88
397,94
397,116
397,125
434,94
478,17
478,22
478,42
478,94
478,96
478,121
478,123
512,9
537,40
561,43
561,94
572,94
625,94
634,94
675,1
675,13
675,14
675,94
706,57
748,94
751,94
758,22
758,94
830,28
843,1
843,13
843,94
936,1
936,39
940,14
981,19
981,32
981,94
995,94
1042,4
1089,1
1165,22
1165,94
1179,94
1189,94
1230,1
1230,94
1239,52
1239,139
1252,1
1252,94
1258,94
1312,11
1312,14
1312,15
1312,16
1312,24
1321,18
1321,19
1321,32
1321,94
1336,22
1336,43
1336,57
1341,19
1341,32
1424,22
1424,43
1424,94
1437,94
1462,19
1462,37
1462,84
1462,86
1531,19
1531,37
1531,87
1531,94
1550,11
1550,16
1571,94
1586,94
1606,94
1704,40
1730,94
1738,94
1760,3
1760,5
1760,6
1760,9
1760,22
1760,26
1760,94
1764,94
1854,94
1869,94
1878,3
1878,5
1920,22
1920,94
1940,94
1972,1
1972,13
1972,14
1972,94
1999,4
1999,19
1999,23
1999,32
1999,36
1999,94
2027,1
2027,3
2027,17
2027,38
2027,86
2043,94
2074,1
2074,3
2074,9
2074,11
2074,13
2074,14
2074,39
2074,94
2084,57
2106,20
2106,35
2106,94
2128,94
2135,94
2161,94
2163,1
2163,9
2163,13
2163,14
2163,94
2194,94
2199,94
2325,25
2325,59
2325,84
2357,94
2493,94
2536,1
2536,6
2536,8
2536,11
2536,13
2536,14
2536,15
2536,16
2536,21
2536,53
2536,84
2536,86
2536,87
2536,88
2536,94
2536,138
2549,86
2561,1
2561,3
2561,5
2561,6
2561,8
2561,9
2561,11
2561,12
2561,13
2561,14
2561,16
2561,17
2561,21
2561,29
2561,53
2561,55
2561,57
2561,87
2561,94
2561,96
2561,138
2562,14
2562,16
2575,94
2684,22
2720,94
2733,17
2733,94
2770,1
2770,13
2770,14
2770,94
2780,1
2780,39
2780,94
2783,94
2825,94
2839,19
2839,94
2844,52
2844,106
2875,94
2920,1
2920,94
2977,1
2977,11
2977,13
2977,14
2977,16
2977,94
2996,1
2996,13
2996,94
3045,1
3055,19
3055,23
3055,32
3055,94
3059,94
3095,4
3095,138
3095,139
